id,director_name,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,actor_2_name,actor_1_facebook_likes,gross,genres,actor_1_name,movie_title,num_voted_users,cast_total_facebook_likes,actor_3_name,facenumber_in_poster,plot_keywords,num_user_for_reviews,language,country,content_rating,title_year,actor_2_facebook_likes,movie_facebook_likes,title_embedding,average_degree_centrality,imdb_score_binned
1290,Tommy Wirkola,349,98,75,467,Derek Mears,10000,55682070,Action|Fantasy|Horror,Jeremy Renner,Hansel & Gretel: Witch Hunters ,159868,11946,Ingrid Bolsø Berdal,2,bounty hunter|brother sister team|death of loved one|hansel and gretel|supernatural power,304,English,Germany,R,2013,520,45000,"[ 4.9281958e-04  1.8678770e-03  2.2591210e-03 -1.2529509e-03
  6.8675831e-04 -7.8512327e-04 -5.8413169e-04  1.9960066e-03
  9.4097509e-04 -1.8800594e-03 -8.4117637e-05 -9.3516882e-04
  1.0190121e-03 -1.4282509e-03  1.7142908e-04  5.3130701e-04
 -1.1937256e-03  3.3232645e-04  2.0785130e-05 -4.1131377e-03
 -3.0854036e-04 -1.3323466e-03  6.1702391e-05  6.0761924e-04
 -3.2523454e-03  1.0038746e-03 -3.8943734e-04 -4.1454536e-04
  1.2745939e-03  5.2151905e-04  5.7527778e-04  1.4829442e-04
  2.9003131e-03 -2.2037192e-03  1.1031263e-03  3.2437101e-03
 -1.1384339e-03 -1.7041065e-03  3.6287869e-04  2.8005737e-04
  3.1261104e-03 -5.0234853e-04 -1.2942534e-03  1.3106816e-03
 -1.1930650e-03 -2.8830655e-03 -1.7998507e-03  1.6893804e-04
 -3.7138438e-04  1.2912860e-03 -1.7707007e-03 -2.1470205e-03
  2.9148217e-03 -2.4988037e-03  7.8836235e-04  3.1771307e-04
  1.0487866e-04 -2.3811511e-03  1.4338605e-03  9.9331769e-04
  3.0889417e-04 -2.0994654e-05 -1.0678083e-04  2.1910020e-04
 -1.3196806e-03  1.6896974e-03  2.3133939e-04 -2.7981955e-03
 -2.2298502e-04  8.9347083e-04  1.0285674e-03  5.8779866e-04
 -1.6221659e-03 -5.6101603e-04  9.5279486e-04  2.3724390e-03
  6.3535490e-04 -2.4983943e-03 -2.0833383e-03  9.9509431e-04
  5.1148853e-04 -8.3598366e-04  1.3909040e-03  6.1553356e-04
 -1.3602496e-03 -1.2945617e-03  1.8108736e-03 -1.3676735e-04
  1.1271688e-03 -8.7896769e-04  2.7641810e-03 -2.7666983e-04
  4.6095764e-04  2.0016450e-04 -3.5659592e-03  4.7940045e-04
  3.7419484e-03 -8.5827394e-04 -5.1904173e-04 -2.1664563e-03]",0.001275702,2
1291,Spike Lee,230,129,0,277,James Ransone,18000,88504640,Crime|Drama|Mystery|Thriller,Denzel Washington,Inside Man ,273108,19148,Peter Gerety,2,bank|detective|negotiation|police|robber,646,English,USA,R,2006,412,0,"[-3.0311341e-03 -4.5563723e-04 -6.9396012e-04  3.0089284e-03
  1.9422086e-03 -2.3838817e-03 -2.8816047e-03  1.9708909e-03
  1.1914251e-03  7.4758020e-04 -3.9820620e-03 -2.2032259e-03
  5.9055485e-04  2.5149630e-03 -1.1603123e-03 -2.1820331e-03
 -2.8877164e-04 -9.4708370e-04 -1.3398118e-03 -1.6566201e-03
 -1.8414823e-04 -1.2675052e-03 -1.9309500e-03 -1.9232156e-03
 -2.4513407e-03 -4.9433797e-03 -3.1695818e-06  1.2040880e-03
 -4.8489368e-05  9.9178520e-05 -9.7909861e-04 -2.2744960e-03
  3.5116645e-03 -3.3184846e-03 -2.1167230e-03  5.3715315e-03
 -5.5145205e-04 -1.4577690e-03 -4.4227554e-04 -1.2394501e-03
  5.4379846e-03 -3.4912096e-03 -9.6877804e-05 -1.0297251e-03
 -7.5747247e-04 -1.9217284e-03  1.5297206e-04  3.2995902e-03
  5.0544890e-04  4.2779716e-03 -1.2051793e-03 -2.5880919e-03
  2.6992229e-03 -1.3224632e-03 -1.3558338e-03 -1.9732642e-04
  2.8551910e-03 -4.3900944e-03  1.1869608e-03 -2.5012152e-04
  2.0022371e-03 -1.7727472e-04  3.4861898e-04  4.6583032e-04
 -1.8666622e-03  6.6849904e-04  2.3350457e-03 -3.0898307e-03
  1.1496189e-03  2.8585363e-03  4.0101970e-04 -5.8864558e-04
 -3.1026336e-03 -3.8979545e-03 -8.9224178e-04  8.1560703e-04
  8.6863281e-04 -3.3117749e-03  9.7581733e-04 -9.2313252e-04
  2.1922567e-03 -1.0870171e-03  9.6323079e-04  1.0731394e-03
 -1.6412559e-03 -4.3087387e-03  3.4223972e-03  5.4122839e-04
  2.5976836e-04 -2.9583464e-03  2.9150036e-04  9.4715913e-04
  5.7314144e-04 -1.4951220e-06 -3.0996692e-03  1.5901846e-03
  3.2708342e-03  3.3837598e-04  5.8543595e-04 -7.6409412e-04]",0.003827105,3
1292,Ron Howard,201,144,2000,537,Bruce McGill,680,61644321,Biography|Drama|Sport,Paddy Considine,Cinderella Man ,148238,2523,Rosemarie DeWitt,0,boxer|boxing|dream|great depression|love,529,English,USA,PG-13,2005,655,0,"[-3.42237158e-03 -4.15811461e-04 -9.52730305e-04  3.87278432e-03
  1.68349536e-03 -3.38452216e-03 -1.43734028e-03  1.19455904e-03
  1.02821807e-03  9.15641489e-04 -2.70302733e-03 -1.19372061e-03
  8.40590976e-04  2.38808803e-03 -7.54894223e-04 -1.63990830e-03
 -1.07620319e-04 -1.28175528e-03 -1.30305649e-03 -2.35975580e-03
 -4.57145332e-04 -1.57320953e-03 -2.18696520e-03 -9.29347356e-04
 -2.74553150e-03 -5.04694087e-03  6.56486256e-04  1.28735579e-03
 -1.32592366e-04  1.11393607e-03 -1.13511505e-03 -5.52503625e-05
  2.41747056e-03 -2.02075881e-03 -8.53705045e-04  5.90149593e-03
 -2.71920173e-04 -3.90584173e-04  8.29656026e-04 -1.02029275e-03
  4.73466562e-03 -3.22450697e-03 -4.12449823e-04 -1.85707770e-03
  3.83149891e-05 -2.33199797e-03 -1.19319721e-03  2.78364238e-03
 -6.09402894e-04  3.18064867e-03 -8.11248319e-04 -1.76876504e-03
  4.11609560e-03 -1.04863406e-03  1.81386946e-04  1.28792552e-03
  2.93155340e-03 -3.14826029e-03  6.20848674e-04  5.36844193e-04
  8.75695725e-04 -7.61288567e-04 -8.72055607e-05  1.07198872e-03
 -6.12619799e-04  1.48894335e-03  1.91583985e-03 -1.59009290e-03
  1.58762967e-03  3.30937142e-03  1.01836119e-03  1.76707399e-05
 -1.64243707e-03 -3.03824642e-03 -6.43942098e-04  1.47095736e-04
 -3.06540343e-04 -2.69044028e-03  4.02028381e-04  9.40581085e-05
  1.54567289e-03 -1.83267996e-03  4.61558840e-04  9.25395754e-04
  1.21603196e-04 -3.83073092e-03  3.34630418e-03  4.53233602e-04
  5.63839334e-04 -3.00595514e-03  1.80437474e-03  1.23114488e-03
  8.85276531e-04 -1.13776507e-04 -3.58934538e-03  1.18740939e-03
  1.20986311e-03  2.07533874e-03  1.45605160e-03 -1.12527807e-03]",0.002326279,3
1293,Stéphane Aubier,99,80,2,186,Megan Mullally,6000,71442,Animation|Comedy|Crime|Drama|Family,Mackenzie Foy,Ernest & Celestine ,12029,6829,Lambert Wilson,0,bear|dentist|friendship|mouse|prejudice,32,French,France,PG,2012,637,0,"[ 1.8287245e-03  1.3475266e-03  1.8100231e-03 -1.2032812e-03
  5.1076990e-04 -2.3585709e-03 -2.5025522e-03  3.6244830e-03
  6.7508681e-04 -3.2893568e-03 -5.5727264e-04 -1.4861464e-03
  4.6705213e-04 -5.8293348e-04 -1.0873949e-03  1.4227349e-03
  1.9522935e-04 -7.4810133e-04 -1.1555436e-03 -5.1045655e-03
 -1.1393984e-03 -1.8686549e-03 -4.0046716e-04  1.0679800e-03
 -4.7320905e-03  4.1750027e-06  8.8916608e-04  9.2966692e-04
  9.7992213e-04  3.8926327e-04  1.2867367e-03 -2.4114541e-05
  2.9767600e-03 -2.1041527e-03  1.7921757e-03  4.4547296e-03
 -1.2908301e-03 -8.8917138e-04  9.2514622e-04  7.4007089e-04
  3.6269326e-03 -2.7663141e-04 -1.0867704e-03  1.5717713e-03
 -1.2967171e-03 -4.0029460e-03 -1.5158458e-03 -1.5764467e-04
 -1.1052818e-03  1.3808903e-03 -2.5548022e-03 -2.5494208e-03
  2.5614321e-03 -1.9335910e-03  8.4395852e-04 -3.3358348e-04
 -1.1361780e-03 -3.0844880e-03  1.8564292e-03  1.6135272e-03
  4.6832557e-04 -3.8131248e-04  8.3181961e-04  7.1104307e-04
 -3.3898677e-03  3.4022646e-03 -1.6680254e-03 -4.1844924e-03
  4.5152268e-04  2.1104102e-03  1.8421040e-03  6.5848115e-04
 -1.2015683e-03 -1.2005285e-03  2.3832831e-03  3.9882441e-03
  1.3912962e-03 -4.0126396e-03 -1.8806704e-03  2.2205166e-03
  9.1615831e-04 -1.4124952e-04  3.6114696e-04  3.1651102e-04
 -9.3531888e-04 -3.4942215e-03  1.5779525e-03  5.7019264e-04
  1.2303058e-03 -1.7677894e-03  1.2832247e-03  1.2574811e-03
  8.4340991e-04  2.0132756e-03 -3.0008547e-03 -1.2133502e-03
  4.3909033e-03 -1.4411564e-03 -8.8048208e-04 -3.6154871e-03]",0.000450248,3
1294,Liz Friedlander,101,118,3,439,Yaya DaCosta,1000,34703228,Drama|Music,Alfre Woodard,Take the Lead ,21767,3797,Jasika Nicole,0,ballroom|dance|dance teacher|student|teacher,127,English,USA,PG-13,2006,712,0,"[-2.57515558e-03  1.46904530e-03 -1.10782660e-03 -4.11635760e-04
  1.97115215e-03 -1.89482234e-03  4.39934265e-05  2.47784052e-03
  1.04076474e-03  3.88367043e-05 -9.61815764e-04 -1.32064812e-03
  1.06737297e-03  2.69049965e-03 -1.25463412e-03 -1.52361987e-03
  1.55576039e-04  2.78563239e-04 -1.04131934e-04 -2.66588223e-03
 -3.85453925e-03 -4.54317359e-03 -1.08129263e-03  6.86166517e-04
 -4.31611063e-03 -5.82415611e-03 -7.86782999e-04 -1.83890376e-03
  7.15411967e-04 -1.56732087e-04  4.73232387e-04 -2.04308354e-03
  3.90823139e-03 -6.29800139e-03 -1.89235376e-03  5.47511363e-03
  9.77037125e-04 -2.47657794e-04  1.22475310e-03 -1.88671367e-03
  7.25434115e-03 -2.08920916e-03 -8.20388377e-04 -3.49189970e-03
 -1.16703019e-03 -2.50173756e-03 -2.44880747e-03  2.59442138e-03
  1.25004549e-03  3.70339700e-03  1.09652756e-04 -4.16577002e-03
  7.76460953e-03 -6.43062592e-03 -2.17160722e-03 -8.69957439e-04
  4.75090416e-03 -3.06588039e-03 -8.41390982e-04  3.68302804e-04
  5.78114181e-04  8.52859172e-04 -1.18636095e-03  9.07198002e-04
 -4.11073939e-04  1.66342594e-03  2.56777951e-03  3.68120777e-06
 -6.16349338e-04  6.62412029e-04 -3.33929289e-04  8.79849773e-04
 -6.62499748e-04 -1.96776376e-03  3.26695241e-04  3.69296060e-04
 -1.15966715e-04 -1.11037318e-03 -2.62026396e-03 -1.10511552e-04
  2.98679923e-03 -2.20827293e-03 -2.41183164e-03  2.35982399e-04
 -9.42744839e-04 -6.14406588e-03  3.83057562e-03 -5.69781638e-04
  1.00936962e-03 -3.21932766e-03  4.48030606e-03  5.45061135e-04
  2.27978127e-03 -1.49054322e-04 -3.61429644e-03  2.33156723e-03
  3.91447125e-03 -7.56418100e-04 -2.38311570e-03 -5.15570864e-03]",0.001125619,2
1295,Sam Mendes,176,122,0,158,Peter Gallagher,18000,130058047,Drama,Kevin Spacey,American Beauty ,822500,19078,Ara Celi,0,domestic violence|drug dealer|homosexuality|midlife crisis|unfaithfulness,2715,English,USA,R,1999,828,22000,"[-2.4154743e-03 -2.7118728e-04  8.5322710e-05  2.9056380e-03
  1.2883870e-03 -1.1414649e-03  5.3965527e-04  1.2483819e-03
  6.5959839e-04 -1.4069692e-03 -1.5950958e-03 -1.5509833e-04
  7.2922755e-04 -8.9404214e-04  5.9867121e-04 -2.4878327e-04
 -6.1470224e-04 -1.3164306e-04  1.6038159e-03 -1.6407747e-03
  9.5146534e-05 -1.0692113e-03  4.7200074e-04  1.9418406e-03
 -2.3412353e-03 -1.2061135e-03  5.4326869e-04 -2.5419978e-04
 -4.6470668e-06  2.6671763e-04 -2.0783060e-05 -1.7725083e-03
  8.0344535e-04 -1.2176118e-03  2.0508551e-04  3.3367274e-03
 -5.6917601e-05 -1.2108735e-03  1.5912756e-03 -7.3388394e-04
  2.0162414e-03 -1.4319313e-03 -1.5262892e-03 -1.7552793e-03
 -1.8962277e-03 -1.2588645e-03 -3.4903613e-04  6.5669895e-04
  2.7528245e-04  1.8232719e-03 -1.1759675e-03 -1.5317530e-03
  3.7739375e-03 -6.1554968e-04 -2.8670489e-04 -1.3308215e-03
  2.8312989e-03 -3.7053283e-03  5.5779621e-04  1.4206524e-03
  1.0555045e-03  1.9285601e-04  2.7657600e-04  1.5716751e-03
  1.9449036e-04  6.2191434e-04  5.1575870e-04 -4.5210906e-04
 -2.2302014e-04  1.2200979e-03  1.3064602e-03 -6.1170012e-04
 -1.4313404e-03 -9.2446862e-05 -2.5019636e-03 -2.5219636e-04
 -1.1638436e-03 -3.3745856e-04 -1.2597389e-03 -6.3855905e-04
  1.2519907e-03 -1.8655868e-03 -8.3251554e-04  8.2401803e-04
 -1.0490167e-04 -2.1553852e-03  2.1506287e-03  5.4959534e-04
 -1.2263122e-03 -1.6739600e-03  1.0539152e-03  7.0075912e-06
 -1.3662543e-03  1.7867838e-03 -3.5475558e-03  1.2163790e-03
  3.7777031e-04 -7.6717668e-05 -1.1279712e-03 -1.7454742e-03]",0.003301816,4
1296,Peter Segal,27,101,88,812,Bradley Whitford,957,22294341,Adventure|Comedy,Wilford Brimley,My Fellow Americans ,12278,4629,Sela Ward,3,gay pride|highway travel|president|road movie|u.s. president,71,English,USA,PG-13,1996,821,758,"[-2.16496713e-03 -6.34730794e-04  9.92107904e-04 -5.79713087e-04
  2.89172004e-03 -1.38833420e-03  1.70306757e-03  1.86817686e-03
  2.92751007e-03 -9.08562040e-04 -1.55233790e-03  6.93575246e-04
 -9.84102138e-04  1.38994728e-04  3.88475339e-04  5.33213199e-04
  7.35842390e-04  1.92992773e-03  1.87125581e-03  6.51496404e-04
 -8.44195660e-04 -1.20196911e-03  3.01259188e-05  2.70750746e-03
 -8.88408220e-04 -1.21584197e-03  7.52309512e-04 -2.12235097e-03
  1.95564330e-03 -1.97621412e-03 -8.58196290e-04 -1.30491579e-04
  1.84180273e-03 -1.99628691e-03  2.82031451e-05  2.73086876e-03
 -5.10438927e-04  9.78113021e-05  2.65347864e-03 -2.01273104e-03
  6.14409277e-04 -2.93789920e-03 -1.21096324e-03 -7.86985271e-04
 -5.14379935e-04 -1.97778223e-04  1.15382846e-03  1.72811362e-03
 -1.04935956e-04  1.47238269e-03 -9.30370588e-04 -2.83439364e-03
  1.02953659e-03  9.10727322e-05  2.53809238e-04  9.71715257e-04
  2.18482153e-03 -1.29636552e-03  1.66971365e-03  4.67266509e-04
  1.55993423e-03  9.14184086e-04  9.00905172e-04  2.00622180e-03
 -2.05156684e-04  1.24726398e-03  7.44404562e-04 -7.79899536e-04
  1.35316548e-03  4.86328872e-06  2.87987903e-04 -3.59554746e-04
 -1.28426531e-03  2.69673765e-04  9.45625070e-04 -4.50640888e-04
 -1.81294861e-04 -9.32067633e-04 -9.55375202e-04 -1.00881036e-03
 -5.41449226e-05  1.62472867e-03 -2.44999235e-03 -5.65371476e-04
 -6.60425227e-04 -1.78017409e-03  2.08640448e-03  1.29096350e-03
  1.72160217e-04 -2.48899241e-03  7.25434453e-04  4.55277506e-04
  8.34859675e-04  1.57308264e-03 -2.64414051e-03  1.49806531e-03
  2.60971230e-03 -3.25184286e-04 -1.15068327e-03 -2.53924262e-03]",0.001575867,2
1297,Fernando Meirelles,214,135,353,40,Seu Jorge,1000,7563397,Crime|Drama,Alice Braga,City of God ,533200,1211,Alexandre Rodrigues,0,coming of age|male frontal nudity|male nudity|photographer|slum,749,Portuguese,Brazil,R,2002,69,28000,"[-3.59696336e-03  3.34879872e-03 -1.73705665e-03  8.25565949e-04
  1.41201692e-03 -2.40118802e-03  9.37018413e-05  2.72588711e-03
 -6.27160398e-06  2.08252785e-03  1.13711518e-03 -1.56684220e-03
  6.49704249e-04  1.96328759e-03  2.00626164e-04 -2.21633376e-03
  6.16222795e-04  2.76091998e-03 -1.91120466e-03 -2.52324087e-03
 -1.76915235e-03 -4.23464552e-03  1.35672046e-03  2.84286519e-03
 -3.51152197e-03 -4.22579749e-03 -2.64373422e-03 -1.88806781e-03
 -7.79626891e-04  7.64928991e-04  2.76664039e-04 -1.64800824e-03
  2.47090054e-03 -6.80592330e-03  1.08346995e-03  6.28933171e-03
 -9.82352067e-04 -2.85261613e-03  4.45461506e-03 -2.62916996e-03
  5.63728670e-03 -4.62884968e-03 -1.67166768e-03 -2.71157618e-03
 -1.38811942e-03 -6.42817002e-04  2.29668731e-04  2.48352974e-03
  4.00372403e-04  2.79271952e-03 -1.03543769e-03 -3.59884812e-03
  5.56858396e-03 -3.60312150e-03 -1.27202482e-03 -3.25329416e-03
  3.46588343e-03 -6.39023306e-03 -2.33804970e-03  2.84134294e-05
  1.80920807e-03  4.72413289e-04 -1.03797624e-03  1.27120013e-03
 -1.10691239e-03  5.40759601e-03  3.20661790e-03 -1.87717157e-03
  3.14748060e-04  4.64469381e-03  8.63264024e-04 -2.51850300e-03
 -1.32698888e-05 -1.96590018e-03 -1.55820290e-03 -1.26125000e-03
 -2.11553462e-03 -1.06192008e-03 -3.77536123e-03  6.39296695e-06
  1.49603095e-03 -1.64401403e-03 -1.88467465e-03 -1.21282169e-03
 -1.28081173e-03 -4.52447357e-03  7.44685577e-03 -1.05495485e-04
 -7.12905370e-04  9.67449916e-04  2.63596885e-03  2.34066905e-03
  3.73636303e-03  7.93593179e-04 -4.72829258e-03  2.11652624e-03
  3.48655530e-03  1.21833487e-04 -4.78123873e-03 -6.66180067e-03]",0.000900495,4
1298,Martin Scorsese,352,151,17000,1000,Matt Damon,29000,132373442,Crime|Drama|Thriller,Leonardo DiCaprio,The Departed ,873649,45648,Ray Winstone,0,boston|mole|police|undercover|undercover cop,2054,English,USA,R,2006,13000,29000,"[-3.51209566e-03  3.26536922e-03  8.82214052e-04  3.02718952e-03
  1.65530143e-03 -3.49568413e-03  2.21278315e-04  1.62193330e-03
  2.50449637e-03 -2.34890450e-03 -2.95779342e-03 -1.06320134e-04
 -2.04557524e-04  2.48551089e-03 -3.06262681e-03 -3.23769124e-03
  1.51698885e-03  1.43942877e-03 -2.82625342e-03 -3.88886686e-03
 -1.36899063e-03 -2.67042359e-03  1.28714601e-05  4.85960348e-03
 -6.52339403e-03 -5.82112465e-03 -2.45611067e-03 -5.30368125e-04
 -1.66057667e-04 -1.79456931e-03  4.75857290e-04 -3.47994082e-03
  5.08896308e-03 -8.58655665e-03 -2.76126573e-03  7.74107547e-03
  1.71105145e-03  2.15696782e-04  2.11183075e-03 -2.09112302e-04
  7.11296452e-03 -5.41061210e-03 -7.67390011e-04 -3.18911648e-03
 -2.28031725e-03 -3.29183554e-03 -1.92370778e-03  5.10367937e-03
  8.10321129e-04  4.22357488e-03 -3.90322716e-03 -5.45380544e-03
  8.14304315e-03 -4.73552011e-03 -9.49249195e-04 -3.29002412e-03
  6.93397690e-03 -6.20395876e-03  1.15427596e-03  7.63657852e-04
  1.76383299e-03 -5.24227042e-04 -2.37001199e-03  2.98466650e-04
 -1.02187623e-03  4.75888001e-03  3.27584008e-03 -2.25538528e-03
  2.11825757e-03  5.08841034e-03 -2.76091881e-03 -5.13943378e-04
 -3.28080915e-03 -3.82147287e-03 -1.65317417e-03  6.48551213e-04
  3.94815666e-04 -1.38591533e-03 -2.73900339e-03  2.37448825e-04
  6.94937189e-04 -3.62533703e-03 -4.33130842e-03 -2.55937339e-05
 -3.40702571e-03 -6.71632634e-03  9.10472963e-03  2.44593224e-03
  1.73520285e-03 -1.80040998e-03  5.00641624e-03  5.36563993e-03
  1.32340216e-03  2.26895092e-03 -6.73496490e-03  1.45248952e-03
  5.54095674e-03  1.02130196e-03 -3.62679129e-03 -6.06482849e-03]",0.004952724,4
1299,Paul Weitz,150,107,80,252,Sarita Choudhury,2000,18004225,Comedy|Drama|Romance,Tina Fey,Admission ,28573,3004,Christopher Evan Welch,2,adoption|female protagonist|princeton university|wedding|working women,87,English,USA,PG-13,2013,257,5000,"[-3.3976714e-04  1.4079744e-03  3.0824277e-04 -4.9373327e-04
 -2.8474181e-04  1.5351751e-04  2.1953719e-04  7.1579270e-04
  2.6718299e-03  3.6340869e-05  1.9013671e-04 -3.0821957e-05
  6.7682855e-04 -1.0240213e-03 -9.0354925e-04 -2.2932515e-03
 -1.4652006e-03  5.0297362e-04  6.1730208e-04 -6.3126558e-04
 -1.1633324e-03 -1.1172929e-03 -3.6182822e-04  9.5845811e-04
 -8.8931096e-04 -1.8097196e-03 -1.7506500e-03  5.9279795e-05
 -1.7472941e-03 -1.9271354e-03  3.1545878e-04  1.1029131e-03
  2.8343783e-03 -1.4711668e-03 -3.8907424e-04  3.2909515e-03
 -1.8163088e-03 -9.3585945e-04  1.3867248e-03 -9.8797167e-04
  3.0062001e-03 -2.5099528e-03 -5.2184722e-04 -1.3076016e-03
 -8.8792440e-04 -1.9442554e-03 -6.3752342e-04 -7.1667433e-05
  1.1872962e-03  2.0486198e-03 -1.2753000e-03 -3.3725335e-03
  4.6639019e-03 -1.8375830e-03 -1.2914792e-03  3.7858976e-05
  1.3830856e-03 -1.5351481e-03  5.7920715e-04  9.1517629e-04
  9.4832585e-04 -2.4215874e-04  5.9930579e-04 -1.1130561e-03
  1.6163152e-03  5.6065197e-05  6.5328868e-04  3.3382015e-04
 -1.4139389e-03  1.6789393e-03 -1.7889944e-03 -6.4424990e-04
 -1.3931420e-03 -1.1649829e-03  4.0393282e-04  1.1311437e-03
  1.3970531e-03 -4.7528523e-04 -2.1523528e-03  2.4946332e-05
  1.0205841e-03 -4.5662263e-04 -1.3015682e-03 -8.3807250e-04
 -1.4572216e-03 -1.8600038e-03  1.6887748e-03  4.9679657e-04
  2.5363514e-04  1.5655400e-04  3.0947758e-03  3.1102935e-04
  2.3260969e-03  2.4848965e-03  1.5964109e-03  1.6400829e-03
  8.4385026e-04  1.4412164e-03 -1.6146242e-03 -7.8923011e-05]",0.001650908,2
1300,Andy Tennant,92,121,72,343,Dougray Scott,1000,65703412,Comedy|Drama|Romance,Anjelica Huston,Ever After: A Cinderella Story ,57958,2747,Jeanne Moreau,1,based on fairy tale|bechdel test passed|cinderella|fairy tale|leonardo da vinci,345,English,USA,PG-13,1998,794,0,"[-2.8005659e-03  1.6873786e-03  1.6275754e-03  2.3668695e-03
  1.4151807e-03 -3.2274786e-04 -3.4564995e-04  1.0948568e-03
  5.7939172e-04 -1.2674814e-03 -1.0872377e-03  1.0118128e-03
 -8.4102602e-04  3.4904186e-04 -9.4633643e-04 -1.3446886e-03
  3.1444454e-04  1.4735340e-03  3.1466401e-04 -3.2490431e-03
 -1.3083477e-03 -3.7606820e-03 -8.4702176e-04  5.7878380e-05
 -2.6277970e-03 -1.0770140e-03 -3.3420033e-04 -8.9517591e-05
  4.1369689e-04 -9.4207318e-04  1.8160489e-03 -8.0044538e-04
  2.7467734e-03 -3.2239314e-03 -3.1450490e-04  4.2358367e-03
 -2.9802011e-04 -7.9821236e-04  1.4635094e-03 -2.6856880e-03
  5.3181960e-03 -2.5887813e-03 -2.7772863e-04 -2.8862907e-03
  9.5013107e-05 -5.1782624e-04 -1.1993207e-03 -1.0180598e-03
  2.8658751e-05  3.7104785e-03 -9.3384896e-04 -2.6077903e-03
  2.9213491e-03  4.4084844e-04 -8.1728288e-04 -7.9601322e-04
  3.4085668e-03 -2.6672324e-03 -6.2378793e-04 -1.8374685e-03
  2.0312760e-03  6.6101755e-04  1.0865207e-03  5.8454642e-04
  5.7118479e-04  2.3213078e-03  8.8774058e-04 -9.3932450e-04
 -3.9080280e-04  1.8134055e-03  3.9786566e-05  5.0076586e-04
 -1.1252830e-03 -2.7285437e-03  4.0450972e-04  2.1519112e-04
 -4.9153506e-04 -2.4764935e-04 -2.9227322e-03  1.7154502e-03
  2.4289279e-03 -1.9065372e-03 -1.3921967e-03 -9.9636870e-04
 -3.4972305e-05 -4.0073786e-03  3.4066252e-03  8.7814673e-04
 -5.6414185e-05 -1.0753681e-03  1.1967474e-03  2.4341114e-03
  1.4676170e-03 -1.1723232e-05 -3.0165529e-03  1.7810490e-03
  4.1459138e-03  8.9320308e-04 -2.1318668e-03 -2.6671120e-03]",0.001951073,2
1301,Sam Mendes,323,119,0,10000,Kate Winslet,29000,22877808,Drama|Romance,Leonardo DiCaprio,Revolutionary Road ,152591,53895,Joe Komara,0,based on novel|children|connecticut|suburb|work,414,English,USA,R,2008,14000,0,"[-1.46807020e-03  9.79892677e-04 -3.70834197e-04  6.56353601e-04
  7.12039764e-04 -1.70157559e-03  1.95358414e-03 -4.85940400e-05
  1.18637981e-04 -4.56998183e-04 -2.55501410e-03 -2.64008041e-03
 -2.57857959e-04  1.67968683e-03 -1.23646052e-04  1.47941092e-03
  2.20053160e-04 -3.82678292e-04 -9.80183948e-04 -5.76792809e-04
 -8.37299449e-04 -2.88180308e-06 -1.91532448e-03  1.69335806e-04
 -2.02646293e-03  1.16754789e-03  1.44709891e-03 -1.87644979e-03
  9.09279799e-04  8.60603002e-04  2.39897345e-04 -1.18336070e-03
  9.25437256e-04 -7.73940003e-04 -1.47223077e-03  2.80777109e-03
  4.26402112e-04  1.37108742e-04  1.40354189e-03 -9.39144811e-04
  1.13787863e-03 -2.24423083e-03 -1.90240517e-03 -2.01242627e-04
 -1.59188150e-03  6.47352193e-04 -2.02224706e-03  2.18967558e-03
  1.20763667e-04  8.98828148e-06 -7.76018132e-04 -1.78783201e-03
  1.42462202e-03 -1.51613366e-03 -2.25344527e-04  4.24598693e-04
  1.20262681e-04 -1.85498898e-03 -2.24576754e-04 -2.44412164e-04
  4.98896406e-04 -1.53562694e-03 -1.25465041e-03  1.71331631e-03
  1.55883050e-03  4.99557704e-04  1.32484449e-04 -5.08464524e-04
 -8.68462317e-04  1.14037690e-03 -8.35324288e-04 -1.31612713e-03
  2.43458827e-03  2.01561808e-04 -6.60147634e-04  1.41464465e-03
  1.36367988e-03 -1.07318966e-03 -1.17639342e-04 -1.01632043e-03
  8.82234424e-04 -6.30487571e-04 -4.45621641e-04  1.02043839e-03
 -3.18001548e-04 -1.85634685e-03  1.60399929e-03  1.36748946e-03
 -6.93459588e-05 -1.35986775e-05  1.92721235e-03 -7.23379722e-04
 -6.91245077e-06  1.61715597e-03 -1.07978797e-03  4.62000491e-04
  8.69223615e-04 -2.39587927e-04 -7.30596192e-04 -1.10765803e-03]",0.003752064,3
